Designator,Mid X,Mid Y,Rotation,Layer
C1,20.6,-22.5,180.0,top
C2,50.39,-25.0,0.0,top
C3,20.6,-25.0,180.0,top
C4,52.89,-22.5,180.0,top
C5,80.5,-17.35,90.0,top
J1,163.375,-21.5,90.0,top
J2,38.0,-9.5,180.0,top
J3,73.5,-9.5,180.0,top
J4,122.0,-9.5,180.0,top
J5,157.5,-9.5,180.0,top
J6,5.4,-18.3,270.0,top
J7,5.4,-32.1,270.0,top
J8,11.18,-45.84,90.0,top
Q1,19.6,-19.27,90.0,top
Q2,52.0,-19.27,90.0,top
Q3,85.23,-16.6,0.0,top
R1,94.3,-24.08,90.0,top
R10,112.0,-37.92,270.0,top
R11,109.0,-48.08,90.0,top
R12,103.0,-37.92,270.0,top
R13,117.8,-24.08,90.0,top
R14,120.8,-13.92,270.0,top
R15,117.5,-37.92,270.0,top
R16,123.8,-24.08,90.0,top
R17,126.8,-13.92,270.0,top
R18,120.5,-37.92,270.0,top
R19,129.8,-24.08,90.0,top
R2,97.3,-13.92,270.0,top
R20,132.8,-13.92,270.0,top
R21,123.5,-37.92,270.0,top
R22,135.5,-37.92,270.0,top
R23,132.5,-48.08,90.0,top
R24,126.5,-37.92,270.0,top
R25,141.3,-24.08,90.0,top
R26,144.3,-13.92,270.0,top
R27,141.0,-38.0,270.0,top
R28,147.3,-24.08,90.0,top
R29,150.3,-13.92,270.0,top
R3,94.0,-37.92,270.0,top
R30,144.0,-38.0,270.0,top
R31,153.3,-24.08,90.0,top
R32,156.3,-13.92,270.0,top
R33,147.0,-38.0,270.0,top
R34,159.0,-38.0,270.0,top
R35,156.0,-48.16,90.0,top
R36,150.0,-38.0,270.0,top
R37,12.1,-15.92,270.0,top
R38,15.1,-15.92,270.0,top
R39,44.5,-15.92,270.0,top
R4,100.3,-24.08,90.0,top
R40,47.5,-26.08,90.0,top
R41,78.92,-9.1,0.0,top
R42,78.92,-12.1,0.0,top
R5,103.3,-13.92,270.0,top
R6,97.0,-37.92,270.0,top
R7,106.3,-24.08,90.0,top
R8,109.3,-13.92,270.0,top
R9,100.0,-37.92,270.0,top
U1,25.32,-45.725,90.0,top
U2,94.22,-34.8,90.0,top
U3,117.72,-34.8,90.0,top
U4,141.22,-34.8,90.0,top
U5,23.32,-24.62,90.0,top
U6,55.745,-24.62,90.0,top
U7,80.38,-20.32,0.0,top
